nome,quantidade,data_entrada,horario
Cenoura,200,2023-11-21, 02:45:00
Brócolis,120,2023-11-21, 03:15:00
Couve-flor,150,2023-11-21, 04:30:00
Abóbora,110,2023-11-21, 02:30:00
Batata,180,2023-11-21, 03:45:00
Tomate,160,2023-11-21, 04:00:00
Pepino,130,2023-11-21, 02:00:00
Alface,140,2023-11-21, 03:00:00
Espinafre,110,2023-11-21, 04:15:00
Cebola,170,2023-11-21, 02:15:00
Pimentão,190,2023-11-21, 03:30:00
Abobrinha,120,2023-11-21, 04:45:00
Berinjela,150,2023-11-21, 02:45:00
Aspargo,110,2023-11-21, 03:15:00
Rúcula,120,2023-11-21, 04:30:00
